id,State,Year,Quarter,Entity_type,Entity_name,Transaction_count,Transaction_amount
96,India,2018,4,State,delhi,29187719,39722857618.706436
97,India,2018,4,State,telangana,28921154,49509088448.04927
98,India,2018,4,State,tamil nadu,22457444,43302073975.890976
99,India,2018,4,State,madhya pradesh,21397555,33905608072.964783
100,India,2018,4,State,odisha,21142798,23429869571.55922
101,India,2018,4,District,bengaluru urban,33061353,50279165003.07312
102,India,2018,4,District,pune,11075153,18048884123.019886
103,India,2018,4,District,central delhi,9373395,13878492766.290386
104,India,2018,4,District,hyderabad,9360515,14727846731.548256
105,India,2018,4,District,chennai,8007699,14632395110.56675
106,India,2018,4,District,jaipur,7271209,12107341570.492035
107,India,2018,4,District,gautam buddha nagar,6083056,7483532543.63562
108,India,2018,4,District,mumbai,6060284,11506143747.453331
109,India,2018,4,District,rangareddy,5803319,9396311751.227482
110,India,2018,4,District,kolkata,5401244,8502095208.881001
111,India,2018,4,Pincode,560001,7725284,14030425393.295612
112,India,2018,4,Pincode,110006,7532374,11605568511.039162
113,India,2018,4,Pincode,600003,5539392,10066365923.24963
114,India,2018,4,Pincode,400008,4586309,8474903607.1238575
115,India,2018,4,Pincode,731101,3284268,5847016363.011223
116,India,2018,4,Pincode,700009,2939284,4991163446.523161
117,India,2018,4,Pincode,500012,2576408,4841883809.168822
118,India,2018,4,Pincode,201301,2504916,3217987818.841588
119,India,2018,4,Pincode,411001,2176631,3917444399.4306126
120,India,2018,4,Pincode,560068,1630650,1941175277.185885
121,India,2019,1,State,karnataka,86587609,117976382145.74966
122,India,2019,1,State,maharashtra,75079069,111420690920.33997
123,India,2019,1,State,telangana,65290702,95523262035.66321
124,India,2019,1,State,uttar pradesh,57324504,76524180134.0167
125,India,2019,1,State,andhra pradesh,57264522,83760595917.0792
126,India,2019,1,State,west bengal,47626388,50164672623.8785
127,India,2019,1,State,delhi,47007327,58469131789.49733
128,India,2019,1,State,rajasthan,43956040,61141158575.55252
129,India,2019,1,State,madhya pradesh,37301049,48070279522.042015
130,India,2019,1,State,odisha,34031942,35427127930.698456
131,India,2019,1,District,bengaluru urban,65174133,82111161572.76288
132,India,2019,1,District,hyderabad,24838664,34892156029.40753
133,India,2019,1,District,pune,23360634,32233517413.825317
134,India,2019,1,District,jaipur,19178441,25043540802.372772
135,India,2019,1,District,rangareddy,12952050,17677048557.63253
136,India,2019,1,District,central delhi,12885975,16258175800.83931
137,India,2019,1,District,chennai,11642449,18810971714.51368
138,India,2019,1,District,gautam buddha nagar,10750094,10286434896.5461
139,India,2019,1,District,medchal malkajgiri,10127087,13392043971.075241
140,India,2019,1,District,new delhi,10000765,13939472234.96883
141,India,2019,1,Pincode,560001,16241340,23597361226.512825
142,India,2019,1,Pincode,110006,10251048,13201959766.05106
143,India,2019,1,Pincode,500012,9957548,15399177052.931395
144,India,2019,1,Pincode,600003,8217185,12799152324.27052
145,India,2019,1,Pincode,110011,6689740,9632804730.117004
146,India,2019,1,Pincode,400008,6494529,10238553958.763014
147,India,2019,1,Pincode,700009,6353573,7885002278.529919
148,India,2019,1,Pincode,411006,5641935,9202990658.018358
149,India,2019,1,Pincode,302001,4954219,7600396570.221162
150,India,2019,1,Pincode,201301,4596696,4223121104.413077
151,India,2019,2,State,karnataka,115401604,163702024226.0841
152,India,2019,2,State,maharashtra,101149853,153294470088.05945
153,India,2019,2,State,telangana,89610379,155676443182.43457
154,India,2019,2,State,uttar pradesh,58883500,98917519370.67831
155,India,2019,2,State,delhi,57171512,81706816063.62862
156,India,2019,2,State,andhra pradesh,56409015,113634518758.22931
157,India,2019,2,State,rajasthan,50009286,89107313172.66756
158,India,2019,2,State,west bengal,47023535,57105691119.11844
159,India,2019,2,State,madhya pradesh,40846013,68334566380.56182
160,India,2019,2,State,tamil nadu,32171737,64207676025.75553
161,India,2019,2,District,bengaluru urban,89148659,113389910485.89922
162,India,2019,2,District,pune,44795652,58398808592.1738
163,India,2019,2,District,hyderabad,43511186,73949377453.0185
164,India,2019,2,District,jaipur,27449382,46056907216.76753
165,India,2019,2,District,new delhi,23313548,36146671717.918365
166,India,2019,2,District,rangareddy,16348519,25359412038.382965
167,India,2019,2,District,patna,13421445,26125484618.416542
168,India,2019,2,District,khordha,13339889,19006076643.493904
169,India,2019,2,District,kolkata,13259522,17260848900.77318
170,India,2019,2,District,lucknow,12624404,22426462674.94428
171,India,2019,2,Pincode,560001,27169035,40026681539.0066
172,India,2019,2,Pincode,500012,23303184,42709920754.79193
173,India,2019,2,Pincode,411006,22544991,34073354893.758354
174,India,2019,2,Pincode,110011,20001452,31366326747.68567
175,India,2019,2,Pincode,302001,14130072,26047079270.71371
176,India,2019,2,Pincode,700009,9694969,12068405239.946836
177,India,2019,2,Pincode,800015,9362673,19331794343.882797
178,India,2019,2,Pincode,226004,8966947,16438621373.818607
179,India,2019,2,Pincode,751002,8318660,12733845249.989027
180,India,2019,2,Pincode,600003,6992850,13700604318.48539
181,India,2019,3,State,karnataka,170733735,214536720438.18292
182,India,2019,3,State,maharashtra,148735581,199617506744.94272
183,India,2019,3,State,telangana,121495376,201930021130.42365
184,India,2019,3,State,andhra pradesh,76288614,139447944254.78943
185,India,2019,3,State,delhi,69537876,103196812046.45712
186,India,2019,3,State,uttar pradesh,68623959,111268137475.02844
187,India,2019,3,State,rajasthan,67303617,112468290031.92343
188,India,2019,3,State,west bengal,66444829,70540532616.82985
189,India,2019,3,State,madhya pradesh,53610411,77676321491.22867
190,India,2019,3,State,odisha,41422272,57304577359.217094
191,India,2019,3,District,bengaluru urban,131234422,150244275641.79712
192,India,2019,3,District,pune,67093416,78128868958.39702
193,India,2019,3,District,hyderabad,55159072,96365182751.25804
194,India,2019,3,District,jaipur,36334520,58402103360.67965
195,India,2019,3,District,new delhi,24687138,43288057341.92169
196,India,2019,3,District,rangareddy,23655175,33663962263.155968
197,India,2019,3,District,khordha,18364742,25509656902.49331
198,India,2019,3,District,medchal malkajgiri,17492750,23256556346.306458
199,India,2019,3,District,visakhapatnam,16694947,26944837120.046288
200,India,2019,3,District,kolkata,16306691,21451201632.248753
201,India,2019,3,Pincode,560001,34182229,49823702321.09828
202,India,2019,3,Pincode,500012,27360144,55516914964.120514
203,India,2019,3,Pincode,411006,25995035,42031275308.282005
204,India,2019,3,Pincode,110011,20159577,36968948004.60185
205,India,2019,3,Pincode,302001,15037317,31903765546.790287
206,India,2019,3,Pincode,700009,11494363,14573984421.133255
207,India,2019,3,Pincode,751002,9990982,16300297217.157505
208,India,2019,3,Pincode,800015,8554034,21451659382.23745
209,India,2019,3,Pincode,400008,7234595,14467758895.186302
210,India,2019,3,Pincode,226004,6687157,17110382946.6282
211,India,2019,4,State,karnataka,237796252,295047143447.2384
212,India,2019,4,State,maharashtra,201260620,272994428799.56488
213,India,2019,4,State,telangana,163572258,280746765547.7425
214,India,2019,4,State,andhra pradesh,107218103,200948315488.80518
215,India,2019,4,State,west bengal,96805838,88203610254.64601
216,India,2019,4,State,uttar pradesh,86905005,145538926507.3059
217,India,2019,4,State,rajasthan,85074242,159452410049.68317
218,India,2019,4,State,delhi,80744997,129024467424.89066
219,India,2019,4,State,madhya pradesh,68131989,104687926790.8659
220,India,2019,4,State,odisha,64995633,79769373632.04843
221,India,2019,4,District,bengaluru urban,180458808,199966708446.8142
222,India,2019,4,District,pune,91666565,103270644868.1607
223,India,2019,4,District,hyderabad,72987282,130230415629.3025
224,India,2019,4,District,jaipur,44335592,81782144762.48987
225,India,2019,4,District,rangareddy,31237803,44757331443.568375
226,India,2019,4,District,new delhi,29048107,54398427887.76768
227,India,2019,4,District,khordha,27477393,34227232121.528633
228,India,2019,4,District,visakhapatnam,23594874,39133296330.044624
229,India,2019,4,District,medchal malkajgiri,22999944,31417907129.793076
230,India,2019,4,District,kolkata,21917627,26475748918.32508
231,India,2019,4,Pincode,560001,48600127,67204107791.7798
232,India,2019,4,Pincode,411006,32779718,51360244641.273315
233,India,2019,4,Pincode,500012,32637373,67244225971.71475
234,India,2019,4,Pincode,110011,22861243,44827058149.79611
235,India,2019,4,Pincode,302001,17153003,41220743922.1253
236,India,2019,4,Pincode,700009,16310685,18429094743.25623
237,India,2019,4,Pincode,751002,13743261,19669451911.7042
238,India,2019,4,Pincode,400008,10498727,22289347327.905037
239,India,2019,4,Pincode,800015,10441675,26228173437.46787
240,India,2019,4,Pincode,600003,10008230,21375916666.727257
241,India,2020,1,State,karnataka,271033890,353402054999.4003
242,India,2020,1,State,maharashtra,238944081,319995196718.0683
243,India,2020,1,State,telangana,199409525,371343780368.2118
244,India,2020,1,State,andhra pradesh,127677357,252737214289.0485
245,India,2020,1,State,rajasthan,102258812,190308238561.00217
246,India,2020,1,State,uttar pradesh,97239132,172416434960.69037
247,India,2020,1,State,delhi,81747604,133616543642.58943
248,India,2020,1,State,madhya pradesh,79366746,126737281436.18527
249,India,2020,1,State,tamil nadu,66953473,116569686179.4346
250,India,2020,1,State,west bengal,66250381,96653305190.9406
251,India,2020,1,District,bengaluru urban,200174352,231970686013.7528
252,India,2020,1,District,pune,107497963,119146177775.3236
253,India,2020,1,District,hyderabad,94177232,183207208610.81787
254,India,2020,1,District,jaipur,52623661,98360847993.80875
255,India,2020,1,District,rangareddy,31802492,45881228273.95146
256,India,2020,1,District,visakhapatnam,27115031,48809747614.678894
257,India,2020,1,District,medchal malkajgiri,25458101,37404467180.931694
258,India,2020,1,District,central delhi,24757650,41219414205.0607
259,India,2020,1,District,mumbai suburban,23598054,40462122569.6479
260,India,2020,1,District,khordha,23152370,39755139238.6053
261,India,2020,1,Pincode,500001,63671159,139394865595.49792
262,India,2020,1,Pincode,560001,57330889,81134886975.52737
263,India,2020,1,Pincode,411004,43278566,64894935103.99599
264,India,2020,1,Pincode,302016,24180734,56174137377.66255
265,India,2020,1,Pincode,110006,19881142,34803706848.31907
266,India,2020,1,Pincode,600003,14352747,29310364582.884754
267,India,2020,1,Pincode,110001,13167147,27716426760.692245
268,India,2020,1,Pincode,700009,13084249,24503076745.659294
269,India,2020,1,Pincode,751001,11782987,25543182753.84958
270,India,2020,1,Pincode,400070,10817537,21066837485.651253
271,India,2020,2,State,karnataka,213221712,321104877020.14185
272,India,2020,2,State,maharashtra,184790761,296359517159.4161
273,India,2020,2,State,telangana,152055143,321531839352.42236
274,India,2020,2,State,andhra pradesh,144917855,302583689746.5449
275,India,2020,2,State,rajasthan,101954656,193763273003.28284
276,India,2020,2,State,uttar pradesh,100851965,178744016130.31216
277,India,2020,2,State,madhya pradesh,76340573,147922015289.08447
278,India,2020,2,State,delhi,66042018,107873438203.3316
279,India,2020,2,State,west bengal,57676797,100099431877.35757
280,India,2020,2,State,bihar,53386742,128806523628.85289
281,India,2020,2,District,bengaluru urban,132120979,176357097466.7659
282,India,2020,2,District,pune,58840981,94890914730.75931
283,India,2020,2,District,hyderabad,56374644,130820061488.30273
284,India,2020,2,District,jaipur,43871862,88270816977.90562
285,India,2020,2,District,visakhapatnam,25300401,48293889917.41437
286,India,2020,2,District,rangareddy,18068048,31273545586.261536
287,India,2020,2,District,medchal malkajgiri,17860704,29732057894.607735
288,India,2020,2,District,central delhi,17641823,30418597739.3527
289,India,2020,2,District,khordha,16842715,34814877058.416145
290,India,2020,2,District,ahmadabad,16430916,32731896547.150326
291,India,2020,2,Pincode,500001,39752686,101961882246.87434
292,India,2020,2,Pincode,560001,38973791,66590268182.415665
293,India,2020,2,Pincode,411004,27617700,58352702890.56202
294,India,2020,2,Pincode,302016,22032140,53610675078.51194
295,India,2020,2,Pincode,110006,14401400,26006450222.981194
296,India,2020,2,Pincode,110001,9780539,21370003546.27849
297,India,2020,2,Pincode,800001,9603835,29875811977.924408
298,India,2020,2,Pincode,751001,9411361,23813152297.287315
299,India,2020,2,Pincode,600003,8641869,22394007817.575096
300,India,2020,2,Pincode,380001,8490730,21210698645.19712
301,India,2020,3,State,karnataka,300360531,470740515696.6945
302,India,2020,3,State,maharashtra,268310924,440307079012.4761
303,India,2020,3,State,telangana,236372126,505961144755.88367
304,India,2020,3,State,andhra pradesh,204902935,467084130584.9388
305,India,2020,3,State,rajasthan,149088676,293678306162.4698
306,India,2020,3,State,uttar pradesh,127405259,248689955423.05322
307,India,2020,3,State,madhya pradesh,108579881,205701679984.5376
308,India,2020,3,State,delhi,96491861,175163962804.6604
309,India,2020,3,State,west bengal,79954504,156813355855.1383
310,India,2020,3,State,bihar,71503748,173328865111.81442
311,India,2020,3,District,bengaluru urban,188947684,261095181780.0901
312,India,2020,3,District,pune,101472134,154366363808.0403
313,India,2020,3,District,hyderabad,99285803,228448742377.47607
314,India,2020,3,District,jaipur,71797182,138189424031.4575
315,India,2020,3,District,visakhapatnam,34421299,67628440368.111465
316,India,2020,3,District,central delhi,32203761,61527717933.93762
317,India,2020,3,District,rangareddy,29573243,51787722036.044556
318,India,2020,3,District,bhopal,29560361,57525605025.512215
319,India,2020,3,District,medchal malkajgiri,28698311,48831695001.78223
320,India,2020,3,District,khordha,23387123,44638448273.52248
321,India,2020,3,Pincode,500001,70732132,177532009421.7673
322,India,2020,3,Pincode,560001,56516908,95602796543.47356
323,India,2020,3,Pincode,411004,49082232,94100767700.43585
324,India,2020,3,Pincode,302016,34723808,78104750484.0607
325,India,2020,3,Pincode,110006,27731187,53768475790.81149
326,India,2020,3,Pincode,462008,18608188,42836925858.3958
327,India,2020,3,Pincode,800001,14656027,41210183921.21666
328,India,2020,3,Pincode,700009,14161961,35897930520.847115
329,India,2020,3,Pincode,751001,11770940,27337331950.38349
330,India,2020,3,Pincode,110001,11598940,25361403335.98009
331,India,2020,4,State,karnataka,431536984,658036698565.0032
332,India,2020,4,State,maharashtra,407621004,622155530832.2585
333,India,2020,4,State,telangana,343643787,696350439226.9452
334,India,2020,4,State,andhra pradesh,286118552,654841546033.3186
335,India,2020,4,State,rajasthan,190283435,386034779836.48376
336,India,2020,4,State,uttar pradesh,178167517,357428826778.2578
337,India,2020,4,State,madhya pradesh,153652541,284275139772.3589
338,India,2020,4,State,delhi,120540417,216265088224.54358
339,India,2020,4,State,tamil nadu,111179701,206473197500.99268
340,India,2020,4,State,west bengal,100340645,199165491365.6468
341,India,2020,4,District,bengaluru urban,267720411,352536741958.4486
342,India,2020,4,District,pune,142350762,182511549425.14316
343,India,2020,4,District,hyderabad,117008707,243045184188.2821
344,India,2020,4,District,jaipur,82378485,159641718978.41748
345,India,2020,4,District,rangareddy,53405219,89256130453.08658
346,India,2020,4,District,medchal malkajgiri,49900746,81801106073.41168
347,India,2020,4,District,visakhapatnam,46551467,91879823025.40399
348,India,2020,4,District,bhopal,38492334,67905952477.88091
349,India,2020,4,District,central delhi,32194168,61575435521.28284
350,India,2020,4,District,mumbai suburban,31947471,52567087497.07483
351,India,2020,4,Pincode,500001,63797806,154104662898.10648
352,India,2020,4,Pincode,560001,56310863,93518053649.26508
353,India,2020,4,Pincode,411004,48628369,83733590846.60262
354,India,2020,4,Pincode,302016,31028451,71599277148.69725
355,India,2020,4,Pincode,110006,24969702,48831647275.471146
356,India,2020,4,Pincode,462008,20637374,44520942803.43778
357,India,2020,4,Pincode,800001,14983099,39976507362.54611
358,India,2020,4,Pincode,600003,11690163,26114457256.846283
359,India,2020,4,Pincode,751001,11637193,26523469788.723434
360,India,2020,4,Pincode,700009,11305243,28555964654.22016
361,India,2021,1,State,karnataka,523797492,754995357412.3948
362,India,2021,1,State,maharashtra,517860240,769887352153.2483
363,India,2021,1,State,telangana,412572110,799359264046.5657
364,India,2021,1,State,andhra pradesh,289747970,672444670176.5881
365,India,2021,1,State,rajasthan,252730919,491492581657.63354
366,India,2021,1,State,uttar pradesh,204499547,396287587577.55756
367,India,2021,1,State,madhya pradesh,201998498,343533954382.3015
368,India,2021,1,State,delhi,157359004,266928345043.49225
369,India,2021,1,State,tamil nadu,136556674,248668143873.65317
370,India,2021,1,State,west bengal,118254052,242937207475.51984
371,India,2021,1,District,bengaluru urban,348712787,432401341231.7671
372,India,2021,1,District,pune,208930588,253623629237.65796
373,India,2021,1,District,hyderabad,169703372,316572388133.7874
374,India,2021,1,District,jaipur,125917532,223771205713.25284
375,India,2021,1,District,bhopal,67309234,101725720745.41443
376,India,2021,1,District,rangareddy,60675056,98883148961.30931
377,India,2021,1,District,medchal malkajgiri,54854446,87516738646.29623
378,India,2021,1,District,central delhi,54173342,90711721159.77658
379,India,2021,1,District,mumbai suburban,49079788,75911506798.24135
380,India,2021,1,District,visakhapatnam,48248923,95308386037.8472
381,India,2021,1,Pincode,560001,111898471,154275126291.57785
382,India,2021,1,Pincode,500001,107274281,218270126529.36053
383,India,2021,1,Pincode,411004,99287169,142692099313.18896
384,India,2021,1,Pincode,302016,65639307,124138636281.23145
385,India,2021,1,Pincode,110006,46104924,76683904356.11441
386,India,2021,1,Pincode,462008,45920869,76097617508.03972
387,India,2021,1,Pincode,800001,30937663,68071234953.67711
388,India,2021,1,Pincode,600003,25512152,44939868773.04714
389,India,2021,1,Pincode,400070,25090098,39416189451.46673
390,India,2021,1,Pincode,751001,24151383,44482729136.236565
391,India,2021,2,State,maharashtra,573616486,915115055623.7152
392,India,2021,2,State,karnataka,530649046,837887151230.051
393,India,2021,2,State,telangana,495867544,1027958332797.5903
394,India,2021,2,State,andhra pradesh,352767134,850737499108.2987
395,India,2021,2,State,rajasthan,287477039,561702765169.2324
396,India,2021,2,State,uttar pradesh,241949131,482172489166.39343
397,India,2021,2,State,madhya pradesh,223314680,425500768035.631
398,India,2021,2,State,delhi,170157264,281941097684.5416
399,India,2021,2,State,bihar,155603622,374580255186.58875
400,India,2021,2,State,tamil nadu,146158442,263487341026.54623
401,India,2021,2,District,bengaluru urban,326804307,444422398357.67755
402,India,2021,2,District,pune,218732925,298657497266.993
403,India,2021,2,District,hyderabad,212326623,424872741465.13696
404,India,2021,2,District,jaipur,137247139,248390977964.5579
405,India,2021,2,District,bhopal,74643630,127038866031.39793
406,India,2021,2,District,rangareddy,63155281,113987187628.93881
407,India,2021,2,District,central delhi,62131856,100895875737.76093
408,India,2021,2,District,medchal malkajgiri,58755991,102864360004.68025
409,India,2021,2,District,visakhapatnam,54390299,114439012713.35336
410,India,2021,2,District,patna,53400850,114936398151.99364
411,India,2021,2,Pincode,500001,148864777,315432046413.6635
412,India,2021,2,Pincode,560001,123224371,183498284704.3348
413,India,2021,2,Pincode,411004,120795663,186134320440.93646
414,India,2021,2,Pincode,302016,81782827,152295120262.96942
415,India,2021,2,Pincode,462008,57596018,101902493881.58667
416,India,2021,2,Pincode,110006,54888173,88849307061.74399
417,India,2021,2,Pincode,800001,42836603,91781680811.21812
418,India,2021,2,Pincode,600003,31694305,54282023022.639435
419,India,2021,2,Pincode,751001,30961581,53565783087.01067
420,India,2021,2,Pincode,700009,30775525,59587220231.94326
421,India,2021,3,State,maharashtra,792874060,1159257305167.4514
422,India,2021,3,State,karnataka,753296539,1133234739157.5984
423,India,2021,3,State,telangana,622886768,1178289126292.2617
424,India,2021,3,State,andhra pradesh,432032550,984218035564.1218
425,India,2021,3,State,rajasthan,400284753,710511328542.4897
426,India,2021,3,State,madhya pradesh,311443334,504412603851.49896
427,India,2021,3,State,uttar pradesh,306543384,557080841279.8989
428,India,2021,3,State,delhi,238760608,383858316548.281
429,India,2021,3,State,tamil nadu,204357404,365207323053.92737
430,India,2021,3,State,bihar,187671113,397062760956.3983
431,India,2021,3,District,bengaluru urban,476485560,626123198813.8513
432,India,2021,3,District,pune,303322956,372243656247.4718
433,India,2021,3,District,hyderabad,262028284,479343321365.3726
434,India,2021,3,District,jaipur,193839196,313664435689.29987
435,India,2021,3,District,bhopal,103403998,146735124186.2163
436,India,2021,3,District,central delhi,88849847,137311394953.58371
437,India,2021,3,District,rangareddy,87884143,147772047919.14047
438,India,2021,3,District,medchal malkajgiri,79514766,130838255095.6952
439,India,2021,3,District,khordha,71647985,108452202806.23244
440,India,2021,3,District,visakhapatnam,69220981,136945652159.26515
441,India,2021,3,Pincode,500001,173430239,335290201877.6652
442,India,2021,3,Pincode,560001,171396431,241306340924.00638
443,India,2021,3,Pincode,411004,155523883,217400690972.0777
444,India,2021,3,Pincode,302016,108659324,179936124302.00922
445,India,2021,3,Pincode,110006,77515502,117511789786.64261
446,India,2021,3,Pincode,462008,74987334,111259178579.96481
447,India,2021,3,Pincode,800001,49086869,90644799090.27641
448,India,2021,3,Pincode,444510,45378525,84950919432.04364
449,India,2021,3,Pincode,600003,42982007,71274098295.90457
450,India,2021,3,Pincode,751001,41875475,65849220632.325775
451,India,2021,4,State,maharashtra,1010731502,1475358473128.29
452,India,2021,4,State,karnataka,931725438,1375471324349.8774
453,India,2021,4,State,telangana,775989773,1463758189500.9146
454,India,2021,4,State,andhra pradesh,522254003,1156264447083.9229
455,India,2021,4,State,rajasthan,487621597,903934418544.2667
456,India,2021,4,State,uttar pradesh,406157932,773890970072.1895
457,India,2021,4,State,madhya pradesh,404308084,656887492404.4789
458,India,2021,4,State,delhi,292683359,488695314062.3906
459,India,2021,4,State,tamil nadu,259155976,443723952594.79407
460,India,2021,4,State,bihar,245126945,519371614068.7477
461,India,2021,4,District,bengaluru urban,584958847,755926042210.8081
462,India,2021,4,District,pune,371337618,454584743765.05554
463,India,2021,4,District,hyderabad,325636475,582079170534.0186
464,India,2021,4,District,jaipur,231804892,394435778364.0141
465,India,2021,4,District,bhopal,134176541,190196223229.17587
466,India,2021,4,District,rangareddy,111354739,188838966046.13513
467,India,2021,4,District,central delhi,111134916,177625511230.04297
468,India,2021,4,District,medchal malkajgiri,98780634,164568262330.06238
469,India,2021,4,District,khordha,94505879,135122128258.68542
470,India,2021,4,District,mumbai suburban,92733033,134616103622.6073
471,India,2021,4,Pincode,500001,213053128,398798138080.5086
472,India,2021,4,Pincode,560001,206723470,283864051273.69073
473,India,2021,4,Pincode,411004,185423020,259406175394.85846
474,India,2021,4,Pincode,302016,130544931,225546213678.03116
475,India,2021,4,Pincode,462008,97987017,145639258182.99155
476,India,2021,4,Pincode,110006,96850347,152021116180.99402
477,India,2021,4,Pincode,800001,61784983,113485175570.40105
478,India,2021,4,Pincode,444510,55162139,103212697006.96257
479,India,2021,4,Pincode,600003,54054310,83084090738.55415
480,India,2021,4,Pincode,751001,52532360,79093274940.53792
