id,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
97,India,2022,4,Peer-to-peer payments,4459859921,14578874324207.227
98,India,2022,4,Recharge & bill payments,991049281,649776847580.25
99,India,2022,4,Financial Services,4623387,5360528394.309982
100,India,2022,4,Others,10013085,7361492606.590162
101,India,2023,1,Merchant payments,7205999708,3745994748195.0
102,India,2023,1,Peer-to-peer payments,4792478560,15924876501456.0
103,India,2023,1,Recharge & bill payments,1076952638,829952832616.0
104,India,2023,1,Financial Services,4884759,5673343900.0
105,India,2023,1,Others,10259195,7571900579.0
106,India,2023,2,Merchant payments,8529595637,4277821161887.0
107,India,2023,2,Peer-to-peer payments,5374546962,17722778868673.0
108,India,2023,2,Recharge & bill payments,1190947064,904758857308.0
109,India,2023,2,Financial Services,5195942,6364033676.0
110,India,2023,2,Others,9341245,6919677602.0
111,India,2023,3,Merchant payments,9868299757,4686944326058.0
112,India,2023,3,Peer-to-peer payments,5929662466,18342686827713.0
113,India,2023,3,Recharge & bill payments,1229068434,967694654180.0
114,India,2023,3,Financial Services,6273522,8553479441.0
115,India,2023,3,Others,8491944,6397985054.0
116,India,2023,4,Merchant payments,11107996161,5419672580085.0
117,India,2023,4,Peer-to-peer payments,6643982862,20533815852133.0
118,India,2023,4,Recharge & bill payments,1247192050,1077506924551.0
119,India,2023,4,Financial Services,7517384,9998159518.0
120,India,2023,4,Others,8651416,6391200449.0
121,India,2024,1,Merchant payments,12520741960,5962442621632.0
122,India,2024,1,Peer-to-peer payments,7335480797,22327480157794.0
123,India,2024,1,Recharge & bill payments,1365204965,1150335013422.0
124,India,2024,1,Financial Services,7419656,11806228360.0
125,India,2024,1,Others,8290191,6518078355.0
126,India,2024,2,Merchant payments,14634736361,6800938567813.0
127,India,2024,2,Peer-to-peer payments,7929923251,23817818323139.0
128,India,2024,2,Recharge & bill payments,1443979969,1179029035046.0
129,India,2024,2,Financial Services,8865844,14501331707.0
130,India,2024,2,Others,8700101,8229697142.0
131,India,2024,3,Merchant payments,15826083595,7132485242978.0
132,India,2024,3,Peer-to-peer payments,8566984108,23963938754607.0
133,India,2024,3,Recharge & bill payments,1409788062,1224783540794.0
134,India,2024,3,Financial Services,10798565,17450358563.0
