id,State,Year,Quarter,Registered_users,App_opens,User_brand,User_count,User_percentage
82,India,2019,4,178279085,4301071954,Realme,9177720,0.051479510341888954
83,India,2019,4,178279085,4301071954,Apple,5361581,0.030074088612245232
84,India,2019,4,178279085,4301071954,Motorola,4494286,0.02520927230471258
85,India,2019,4,178279085,4301071954,OnePlus,3833328,0.02150183797499297
86,India,2019,4,178279085,4301071954,Huawei,3492460,0.01958984700869426
87,India,2019,4,178279085,4301071954,Lenovo,3062118,0.01717598000909641
88,India,2019,4,178279085,4301071954,Others,16521798,0.09267378728132916
89,India,2020,1,197575164,4768944662,Xiaomi,51004503,0.2581524011793304
90,India,2020,1,197575164,4768944662,Samsung,39560399,0.20022961489228475
91,India,2020,1,197575164,4768944662,Vivo,33573609,0.1699282861281087
92,India,2020,1,197575164,4768944662,Oppo,23375458,0.11831172262116912
93,India,2020,1,197575164,4768944662,Realme,10582375,0.05356126137392451
94,India,2020,1,197575164,4768944662,Apple,5755009,0.02912820054650189
95,India,2020,1,197575164,4768944662,Motorola,4756036,0.02407203366917109
96,India,2020,1,197575164,4768944662,OnePlus,4027133,0.020382789610135413
97,India,2020,1,197575164,4768944662,Huawei,3850925,0.019490936623997944
98,India,2020,1,197575164,4768944662,Lenovo,3276777,0.01658496408991972
99,India,2020,1,197575164,4768944662,Others,17812940,0.09015778926545646
100,India,2020,2,218996326,4357634272,Xiaomi,56202867,0.25663840132185595
101,India,2020,2,218996326,4357634272,Samsung,43708551,0.19958577295949706
102,India,2020,2,218996326,4357634272,Vivo,38093292,0.17394489074670594
103,India,2020,2,218996326,4357634272,Oppo,26438928,0.12072772398930565
104,India,2020,2,218996326,4357634272,Realme,12034857,0.05495460686404392
105,India,2020,2,218996326,4357634272,Apple,6099798,0.02785342618030953
106,India,2020,2,218996326,4357634272,Motorola,5066664,0.02313584018756552
107,India,2020,2,218996326,4357634272,Huawei,4210805,0.01922774266085176
108,India,2020,2,218996326,4357634272,OnePlus,4176941,0.019073109929707222
109,India,2020,2,218996326,4357634272,Lenovo,3472895,0.01585823407831965
110,India,2020,2,218996326,4357634272,Others,19490728,0.08900025108183779
111,India,2020,3,241169683,5739326491,Xiaomi,61383234,0.2545230115014083
112,India,2020,3,241169683,5739326491,Samsung,48012276,0.19908089359639786
113,India,2020,3,241169683,5739326491,Vivo,43182078,0.179052679685282
114,India,2020,3,241169683,5739326491,Oppo,29530065,0.122445178982136
115,India,2020,3,241169683,5739326491,Realme,13737667,0.05696266143037556
116,India,2020,3,241169683,5739326491,Apple,6523683,0.02705017860806327
117,India,2020,3,241169683,5739326491,Motorola,5363550,0.02223973566362402
118,India,2020,3,241169683,5739326491,Huawei,4565437,0.01893039350223801
119,India,2020,3,241169683,5739326491,OnePlus,4382412,0.018171487997519158
120,India,2020,3,241169683,5739326491,Lenovo,3679349,0.015256266684233275
121,India,2020,3,241169683,5739326491,Others,20809932,0.08628751234872253
122,India,2020,4,264271293,7461623162,Xiaomi,66711711,0.2524364649776773
123,India,2020,4,264271293,7461623162,Samsung,52578970,0.19895831061756677
124,India,2020,4,264271293,7461623162,Vivo,48210115,0.18242660582888207
125,India,2020,4,264271293,7461623162,Oppo,32684041,0.12367609296103152
126,India,2020,4,264271293,7461623162,Realme,15590747,0.05899523487025131
127,India,2020,4,264271293,7461623162,Apple,7052763,0.026687586532525877
128,India,2020,4,264271293,7461623162,Motorola,5650618,0.02138188350257173
129,India,2020,4,264271293,7461623162,Huawei,4915828,0.01860144529583847
130,India,2020,4,264271293,7461623162,OnePlus,4621214,0.017486628787940276
131,India,2020,4,264271293,7461623162,Lenovo,3880170,0.01468252550609044
132,India,2020,4,264271293,7461623162,Others,22375116,0.08466722111962421
133,India,2021,1,284985430,8635508502,Xiaomi,71553154,0.2510765339828075
134,India,2021,1,284985430,8635508502,Samsung,56154585,0.19704370500625243
135,India,2021,1,284985430,8635508502,Vivo,53341749,0.18717360041880035
136,India,2021,1,284985430,8635508502,Oppo,35512326,0.12461102309686499
137,India,2021,1,284985430,8635508502,Realme,17541519,0.06155233620188934
138,India,2021,1,284985430,8635508502,Apple,7576154,0.026584355558106953
139,India,2021,1,284985430,8635508502,Motorola,5792974,0.020327263748185304
140,India,2021,1,284985430,8635508502,Huawei,5145488,0.018055266895574275
141,India,2021,1,284985430,8635508502,OnePlus,4895538,0.017178204513823743
142,India,2021,1,284985430,8635508502,Lenovo,3907304,0.0137105395177571
143,India,2021,1,284985430,8635508502,Others,23564639,0.08268717105993804
144,India,2021,2,305258086,9630620549,Xiaomi,75948492,0.2488009179222856
145,India,2021,2,305258086,9630620549,Samsung,59144667,0.193752990379426
146,India,2021,2,305258086,9630620549,Vivo,58646521,0.1921211056797362
147,India,2021,2,305258086,9630620549,Oppo,38402777,0.12580429073384153
148,India,2021,2,305258086,9630620549,Realme,20619455,0.06754761280918206
149,India,2021,2,305258086,9630620549,Apple,8143414,0.02667714427063531
150,India,2021,2,305258086,9630620549,Motorola,5744294,0.018817827482545377
151,India,2021,2,305258086,9630620549,OnePlus,5365636,0.0175773754933391
152,India,2021,2,305258086,9630620549,Huawei,5068955,0.016605473310869152
153,India,2021,2,305258086,9630620549,Lenovo,3768280,0.01234457062015386
154,India,2021,2,305258086,9630620549,Others,24405595,0.0799506912979858
155,India,2021,3,328354923,12256377890,Xiaomi,80749587,0.24592165776664782
156,India,2021,3,328354923,12256377890,Vivo,65338474,0.19898734394793893
157,India,2021,3,328354923,12256377890,Samsung,61299387,0.1866863649856104
158,India,2021,3,328354923,12256377890,Oppo,42064749,0.1281075630469533
159,India,2021,3,328354923,12256377890,Realme,24185973,0.07365801852162271
160,India,2021,3,328354923,12256377890,Apple,8753177,0.02665766945117494
161,India,2021,3,328354923,12256377890,OnePlus,6266945,0.01908588713317388
162,India,2021,3,328354923,12256377890,Motorola,5650891,0.017209703903236437
163,India,2021,3,328354923,12256377890,Huawei,5126319,0.015612127734110446
164,India,2021,3,328354923,12256377890,Lenovo,3585329,0.010919065769572762
165,India,2021,3,328354923,12256377890,Others,25334092,0.07715459773995835
166,India,2021,4,351161395,15172529039,Xiaomi,84820436,0.2415425989522567
167,India,2021,4,351161395,15172529039,Vivo,71483071,0.20356187216991778
168,India,2021,4,351161395,15172529039,Samsung,63618499,0.18116598209777587
169,India,2021,4,351161395,15172529039,Oppo,45569087,0.12976678999694713
170,India,2021,4,351161395,15172529039,Realme,28686022,0.08168899659371726
171,India,2021,4,351161395,15172529039,Apple,9883075,0.02814396781855819
172,India,2021,4,351161395,15172529039,OnePlus,7178086,0.020440988395093944
173,India,2021,4,351161395,15172529039,Motorola,5648173,0.016084265185243384
174,India,2021,4,351161395,15172529039,Huawei,4930699,0.014041119183958135
175,India,2021,4,351161395,15172529039,Tecno,3799428,0.01081960618136854
176,India,2021,4,351161395,15172529039,Others,25544819,0.07274381342516309
177,India,2022,1,372951831,15724195113,Xiaomi,88426997,0.2371003160459078
178,India,2022,1,372951831,15724195113,Vivo,77224616,0.20706324404665546
179,India,2022,1,372951831,15724195113,Samsung,65886728,0.17666283558211032
