id,State,Year,Quarter,Entity_type,Entity_name,Registered_users
135,India,2019,1,District,thane,1834051
136,India,2019,1,District,hyderabad,1638436
137,India,2019,1,District,rangareddy,1470874
138,India,2019,1,District,ahmadabad,1450100
139,India,2019,1,District,medchal malkajgiri,1279531
140,India,2019,1,District,surat,1180819
141,India,2019,1,Pincode,201301,301260
142,India,2019,1,Pincode,110059,246566
143,India,2019,1,Pincode,560068,237280
144,India,2019,1,Pincode,500072,221180
145,India,2019,1,Pincode,110092,206805
146,India,2019,1,Pincode,122001,194366
147,India,2019,1,Pincode,110086,158267
148,India,2019,1,Pincode,560078,157977
149,India,2019,1,Pincode,395006,157558
150,India,2019,1,Pincode,560076,157367
151,India,2019,2,State,maharashtra,18776975
152,India,2019,2,State,uttar pradesh,14316349
153,India,2019,2,State,karnataka,11968087
154,India,2019,2,State,andhra pradesh,9389003
155,India,2019,2,State,telangana,9046007
156,India,2019,2,State,rajasthan,8783935
157,India,2019,2,State,west bengal,8612795
158,India,2019,2,State,gujarat,7574645
159,India,2019,2,State,tamil nadu,7429609
160,India,2019,2,State,madhya pradesh,7301172
161,India,2019,2,District,bengaluru urban,5694165
162,India,2019,2,District,pune,3514081
163,India,2019,2,District,jaipur,2290462
164,India,2019,2,District,mumbai suburban,2151657
165,India,2019,2,District,thane,2118406
166,India,2019,2,District,hyderabad,1856926
167,India,2019,2,District,ahmadabad,1656341
168,India,2019,2,District,rangareddy,1651300
169,India,2019,2,District,medchal malkajgiri,1428880
170,India,2019,2,District,surat,1338584
171,India,2019,2,Pincode,201301,336709
172,India,2019,2,Pincode,110059,274593
173,India,2019,2,Pincode,560068,263531
174,India,2019,2,Pincode,500072,242007
175,India,2019,2,Pincode,110092,228546
176,India,2019,2,Pincode,122001,217913
177,India,2019,2,Pincode,421302,182371
178,India,2019,2,Pincode,395006,180042
179,India,2019,2,Pincode,560078,178837
180,India,2019,2,Pincode,110086,177199
181,India,2019,3,State,maharashtra,21313081
182,India,2019,3,State,uttar pradesh,16044607
183,India,2019,3,State,karnataka,13635075
184,India,2019,3,State,andhra pradesh,10458693
185,India,2019,3,State,telangana,10090557
186,India,2019,3,State,rajasthan,9797304
187,India,2019,3,State,west bengal,9643222
188,India,2019,3,State,gujarat,8429299
189,India,2019,3,State,tamil nadu,8428835
190,India,2019,3,State,madhya pradesh,8180664
191,India,2019,3,District,bengaluru urban,6383771
192,India,2019,3,District,pune,4004991
193,India,2019,3,District,jaipur,2520933
194,India,2019,3,District,mumbai suburban,2407754
195,India,2019,3,District,thane,2396815
196,India,2019,3,District,hyderabad,2071673
197,India,2019,3,District,ahmadabad,1848860
198,India,2019,3,District,rangareddy,1826019
199,India,2019,3,District,medchal malkajgiri,1572320
200,India,2019,3,District,surat,1481391
201,India,2019,3,Pincode,201301,369425
202,India,2019,3,Pincode,110059,300007
203,India,2019,3,Pincode,560068,289417
204,India,2019,3,Pincode,500072,261019
205,India,2019,3,Pincode,110092,248727
206,India,2019,3,Pincode,122001,239679
207,India,2019,3,Pincode,421302,208109
208,India,2019,3,Pincode,395006,198132
209,India,2019,3,Pincode,110086,194575
210,India,2019,3,Pincode,800001,194197
211,India,2019,4,State,maharashtra,23745297
212,India,2019,4,State,uttar pradesh,17949542
213,India,2019,4,State,karnataka,15385416
214,India,2019,4,State,andhra pradesh,11757883
215,India,2019,4,State,telangana,11220691
216,India,2019,4,State,rajasthan,10925031
217,India,2019,4,State,west bengal,10885058
218,India,2019,4,State,tamil nadu,9620493
219,India,2019,4,State,gujarat,9323799
220,India,2019,4,State,madhya pradesh,9165241
221,India,2019,4,District,bengaluru urban,7016836
222,India,2019,4,District,pune,4416899
223,India,2019,4,District,jaipur,2746860
224,India,2019,4,District,thane,2638051
225,India,2019,4,District,mumbai suburban,2630360
226,India,2019,4,District,hyderabad,2283903
227,India,2019,4,District,ahmadabad,2015947
228,India,2019,4,District,rangareddy,2001437
229,India,2019,4,District,medchal malkajgiri,1714832
230,India,2019,4,District,north twenty four parganas,1638605
231,India,2019,4,Pincode,201301,398548
232,India,2019,4,Pincode,110059,320535
233,India,2019,4,Pincode,560068,313673
234,India,2019,4,Pincode,500072,279498
235,India,2019,4,Pincode,110092,264380
236,India,2019,4,Pincode,122001,258880
237,India,2019,4,Pincode,421302,243170
238,India,2019,4,Pincode,560078,218317
239,India,2019,4,Pincode,395006,214322
240,India,2019,4,Pincode,560076,211683
241,India,2020,1,State,maharashtra,26168390
242,India,2020,1,State,uttar pradesh,20136256
243,India,2020,1,State,karnataka,17016980
244,India,2020,1,State,andhra pradesh,13022060
245,India,2020,1,State,telangana,12306860
246,India,2020,1,State,rajasthan,12142053
247,India,2020,1,State,west bengal,11960822
248,India,2020,1,State,tamil nadu,10872368
249,India,2020,1,State,gujarat,10259843
250,India,2020,1,State,madhya pradesh,10151371
251,India,2020,1,District,bengaluru urban,7564577
252,India,2020,1,District,pune,4802397
253,India,2020,1,District,jaipur,2966508
254,India,2020,1,District,thane,2878073
255,India,2020,1,District,mumbai suburban,2843378
256,India,2020,1,District,hyderabad,2483843
257,India,2020,1,District,ahmadabad,2185983
258,India,2020,1,District,rangareddy,2166829
259,India,2020,1,District,medchal malkajgiri,1845599
260,India,2020,1,District,north twenty four parganas,1789973
261,India,2020,1,Pincode,201301,425915
262,India,2020,1,Pincode,110059,342152
263,India,2020,1,Pincode,560068,334481
264,India,2020,1,Pincode,500072,296003
265,India,2020,1,Pincode,110092,280039
266,India,2020,1,Pincode,122001,277400
267,India,2020,1,Pincode,421302,270275
268,India,2020,1,Pincode,560078,234102
269,India,2020,1,Pincode,395006,230047
